prisoner number,BOX number,BOX slip number,Result
94,89,47,NA
94,47,28,NA
94,28,93,NA
94,93,87,NA
94,87,70,NA
94,70,81,NA
94,81,53,NA
94,53,92,NA
94,92,59,NA
94,59,5,NA
94,5,68,NA
94,68,42,NA
94,NA,NA,LoopEnd
84,NA,NA,IN
84,20,43,NA
84,43,54,NA
84,54,58,NA
84,58,11,NA
84,11,7,NA
84,7,1,NA
84,1,27,NA
84,27,94,NA
84,94,38,NA
84,38,78,NA
84,78,4,NA
84,4,98,NA
84,98,65,NA
84,65,72,NA
84,72,2,NA
84,2,82,NA
84,82,99,NA
84,99,15,NA
84,15,49,NA
84,49,29,NA
84,29,79,NA
84,79,35,NA
84,35,77,NA
84,77,80,NA
84,80,12,NA
84,12,91,NA
84,91,13,NA
84,13,19,NA
84,19,46,NA
84,46,32,NA
84,32,20,NA
84,NA,NA,LoopEnd
43,NA,NA,IN
43,99,15,NA
43,15,49,NA
43,49,29,NA
43,29,79,NA
43,79,35,NA
43,35,77,NA
43,77,80,NA
43,80,12,NA
43,12,91,NA
43,91,13,NA
43,13,19,NA
43,19,46,NA
43,46,32,NA
43,32,20,NA
43,20,43,OUT
11,NA,NA,IN
11,4,98,NA
11,98,65,NA
11,65,72,NA
11,72,2,NA
11,2,82,NA
11,82,99,NA
11,99,15,NA
11,15,49,NA
11,49,29,NA
11,29,79,NA
11,79,35,NA
11,35,77,NA
11,77,80,NA
11,80,12,NA
11,12,91,NA
11,91,13,NA
11,13,19,NA
11,19,46,NA
11,46,32,NA
11,32,20,NA
11,20,43,NA
11,43,54,NA
11,54,58,NA
11,58,11,OUT
48,NA,NA,IN
48,54,58,NA
48,58,11,NA
48,11,7,NA
48,7,1,NA
48,1,27,NA
48,27,94,NA
48,94,38,NA
48,38,78,NA
48,78,4,NA
48,4,98,NA
48,98,65,NA
48,65,72,NA
48,72,2,NA
48,2,82,NA
48,82,99,NA
48,99,15,NA
48,15,49,NA
48,49,29,NA
48,29,79,NA
48,79,35,NA
48,35,77,NA
48,77,80,NA
48,80,12,NA
48,12,91,NA
48,91,13,NA
48,13,19,NA
48,19,46,NA
48,46,32,NA
48,32,20,NA
48,20,43,NA
48,43,54,NA
48,NA,NA,LoopEnd
69,NA,NA,IN
69,26,17,NA
69,17,56,NA
69,56,48,NA
69,48,90,NA
69,90,26,NA
69,NA,NA,LoopEnd
44,NA,NA,IN
44,2,82,NA
44,82,99,NA
44,99,15,NA
44,15,49,NA
44,49,29,NA
44,29,79,NA
44,79,35,NA
44,35,77,NA
44,77,80,NA
44,80,12,NA
44,12,91,NA
44,91,13,NA
44,13,19,NA
44,19,46,NA
44,46,32,NA
44,32,20,NA
44,20,43,NA
44,43,54,NA
44,54,58,NA
44,58,11,NA
44,11,7,NA
44,7,1,NA
44,1,27,NA
44,27,94,NA
44,94,38,NA
44,38,78,NA
44,78,4,NA
44,4,98,NA
44,98,65,NA
44,65,72,NA
44,72,2,NA
44,NA,NA,LoopEnd
61,NA,NA,IN
61,50,50,NA
61,NA,NA,LoopEnd
62,NA,NA,IN
62,76,71,NA
62,71,95,NA
62,95,62,OUT
71,NA,NA,IN
71,49,29,NA
71,29,79,NA
71,79,35,NA
71,35,77,NA
71,77,80,NA
71,80,12,NA
71,12,91,NA
71,91,13,NA
71,13,19,NA
71,19,46,NA
71,46,32,NA
71,32,20,NA
71,20,43,NA
71,43,54,NA
71,54,58,NA
71,58,11,NA
71,11,7,NA
71,7,1,NA
71,1,27,NA
71,27,94,NA
71,94,38,NA
71,38,78,NA
71,78,4,NA
71,4,98,NA
71,98,65,NA
71,65,72,NA
71,72,2,NA
71,2,82,NA
71,82,99,NA
71,99,15,NA
71,15,49,NA
71,NA,NA,LoopEnd
7,NA,NA,IN
7,80,12,NA
7,12,91,NA
7,91,13,NA
7,13,19,NA
7,19,46,NA
7,46,32,NA
7,32,20,NA
7,20,43,NA
7,43,54,NA
7,54,58,NA
7,58,11,NA
7,11,7,OUT
75,NA,NA,IN
75,43,54,NA
75,54,58,NA
75,58,11,NA
75,11,7,NA
75,7,1,NA
75,1,27,NA
75,27,94,NA
75,94,38,NA
75,38,78,NA
75,78,4,NA
75,4,98,NA
75,98,65,NA
75,65,72,NA
75,72,2,NA
75,2,82,NA
75,82,99,NA
75,99,15,NA
75,15,49,NA
75,49,29,NA
75,29,79,NA
75,79,35,NA
75,35,77,NA
75,77,80,NA
75,80,12,NA
75,12,91,NA
75,91,13,NA
75,13,19,NA
75,19,46,NA
75,46,32,NA
75,32,20,NA
75,20,43,NA
75,NA,NA,LoopEnd
46,NA,NA,IN
46,91,13,NA
46,13,19,NA
46,19,46,OUT
