prisoner number,BOX number,BOX slip number,Result
82,3,89,NA
82,89,47,NA
82,47,28,NA
82,28,93,NA
82,93,87,NA
82,87,70,NA
82,70,81,NA
82,81,53,NA
82,53,92,NA
82,92,59,NA
82,59,5,NA
82,5,68,NA
82,68,42,NA
82,42,69,NA
82,69,44,NA
82,44,37,NA
82,37,39,NA
82,39,16,NA
82,16,8,NA
82,8,0,NA
82,0,14,NA
82,14,76,NA
82,76,71,NA
82,71,95,NA
82,95,62,NA
82,62,51,NA
82,51,23,NA
82,23,24,NA
82,24,57,NA
82,57,21,NA
82,21,55,NA
82,55,85,NA
82,85,75,NA
82,75,88,NA
82,88,22,NA
82,22,30,NA
82,30,96,NA
82,96,86,NA
82,NA,NA,LoopEnd
37,NA,NA,IN
37,18,40,NA
37,40,63,NA
37,63,31,NA
37,31,61,NA
37,61,10,NA
37,10,64,NA
37,64,83,NA
37,83,66,NA
37,66,18,NA
37,NA,NA,LoopEnd
57,NA,NA,IN
57,32,20,NA
57,20,43,NA
57,43,54,NA
57,54,58,NA
57,58,11,NA
57,11,7,NA
57,7,1,NA
57,1,27,NA
57,27,94,NA
57,94,38,NA
57,38,78,NA
57,78,4,NA
57,4,98,NA
57,98,65,NA
57,65,72,NA
57,72,2,NA
57,2,82,NA
57,82,99,NA
57,99,15,NA
57,15,49,NA
57,49,29,NA
57,29,79,NA
57,79,35,NA
57,35,77,NA
57,77,80,NA
57,80,12,NA
57,12,91,NA
57,91,13,NA
57,13,19,NA
57,19,46,NA
57,46,32,NA
57,NA,NA,LoopEnd
90,NA,NA,IN
90,52,73,NA
90,73,3,NA
90,3,89,NA
90,89,47,NA
90,47,28,NA
90,28,93,NA
90,93,87,NA
90,87,70,NA
90,70,81,NA
90,81,53,NA
90,53,92,NA
90,92,59,NA
90,59,5,NA
90,5,68,NA
90,68,42,NA
90,42,69,NA
90,69,44,NA
90,44,37,NA
90,37,39,NA
90,39,16,NA
90,16,8,NA
90,8,0,NA
90,0,14,NA
90,14,76,NA
90,76,71,NA
90,71,95,NA
90,95,62,NA
90,62,51,NA
90,51,23,NA
90,23,24,NA
90,24,57,NA
90,57,21,NA
90,21,55,NA
90,55,85,NA
90,85,75,NA
90,75,88,NA
90,88,22,NA
90,22,30,NA
90,30,96,NA
90,96,86,NA
90,86,34,NA
90,34,36,NA
90,36,84,NA
90,84,52,NA
90,NA,NA,LoopEnd
49,NA,NA,IN
49,50,50,NA
49,NA,NA,LoopEnd
92,NA,NA,IN
92,36,84,NA
92,84,52,NA
92,52,73,NA
92,73,3,NA
92,3,89,NA
92,89,47,NA
92,47,28,NA
92,28,93,NA
92,93,87,NA
92,87,70,NA
92,70,81,NA
92,81,53,NA
92,53,92,OUT
12,NA,NA,IN
12,77,80,NA
12,80,12,OUT
95,NA,NA,IN
95,95,62,NA
95,62,51,NA
95,51,23,NA
95,23,24,NA
95,24,57,NA
95,57,21,NA
95,21,55,NA
95,55,85,NA
95,85,75,NA
95,75,88,NA
95,88,22,NA
95,22,30,NA
95,30,96,NA
95,96,86,NA
95,86,34,NA
95,34,36,NA
95,36,84,NA
95,84,52,NA
95,52,73,NA
95,73,3,NA
95,3,89,NA
95,89,47,NA
95,47,28,NA
95,28,93,NA
95,93,87,NA
95,87,70,NA
95,70,81,NA
95,81,53,NA
95,53,92,NA
95,92,59,NA
95,59,5,NA
95,5,68,NA
95,68,42,NA
95,42,69,NA
95,69,44,NA
95,44,37,NA
95,37,39,NA
95,39,16,NA
95,16,8,NA
95,8,0,NA
95,0,14,NA
95,14,76,NA
95,76,71,NA
95,71,95,OUT
4,NA,NA,IN
4,49,29,NA
4,29,79,NA
4,79,35,NA
4,35,77,NA
4,77,80,NA
4,80,12,NA
4,12,91,NA
4,91,13,NA
4,13,19,NA
4,19,46,NA
4,46,32,NA
4,32,20,NA
4,20,43,NA
4,43,54,NA
4,54,58,NA
4,58,11,NA
4,11,7,NA
4,7,1,NA
4,1,27,NA
4,27,94,NA
4,94,38,NA
4,38,78,NA
4,78,4,OUT
63,NA,NA,IN
63,26,17,NA
63,17,56,NA
63,56,48,NA
63,48,90,NA
63,90,26,NA
63,NA,NA,LoopEnd
9,NA,NA,IN
9,77,80,NA
9,80,12,NA
9,12,91,NA
9,91,13,NA
9,13,19,NA
9,19,46,NA
9,46,32,NA
9,32,20,NA
9,20,43,NA
9,43,54,NA
9,54,58,NA
9,58,11,NA
9,11,7,NA
9,7,1,NA
9,1,27,NA
9,27,94,NA
9,94,38,NA
9,38,78,NA
9,78,4,NA
9,4,98,NA
9,98,65,NA
9,65,72,NA
9,72,2,NA
9,2,82,NA
9,82,99,NA
9,99,15,NA
9,15,49,NA
9,49,29,NA
9,29,79,NA
9,79,35,NA
9,35,77,NA
9,NA,NA,LoopEnd
80,NA,NA,IN
80,6,74,NA
80,74,25,NA
80,25,60,NA
80,60,9,NA
80,9,45,NA
80,45,41,NA
80,41,33,NA
80,33,67,NA
80,67,97,NA
80,97,6,NA
80,NA,NA,LoopEnd
8,NA,NA,IN
8,3,89,NA
8,89,47,NA
8,47,28,NA
8,28,93,NA
8,93,87,NA
8,87,70,NA
8,70,81,NA
8,81,53,NA
8,53,92,NA
8,92,59,NA
8,59,5,NA
8,5,68,NA
8,68,42,NA
8,42,69,NA
8,69,44,NA
8,44,37,NA
8,37,39,NA
8,39,16,NA
8,16,8,OUT
83,NA,NA,IN
83,16,8,NA
83,8,0,NA
83,0,14,NA
83,14,76,NA
83,76,71,NA
83,71,95,NA
83,95,62,NA
83,62,51,NA
83,51,23,NA
83,23,24,NA
83,24,57,NA
83,57,21,NA
83,21,55,NA
83,55,85,NA
83,85,75,NA
83,75,88,NA
83,88,22,NA
83,22,30,NA
83,30,96,NA
83,96,86,NA
83,86,34,NA
83,34,36,NA
83,36,84,NA
83,84,52,NA
83,52,73,NA
83,73,3,NA
83,3,89,NA
83,89,47,NA
83,47,28,NA
83,28,93,NA
83,93,87,NA
83,87,70,NA
83,70,81,NA
83,81,53,NA
83,53,92,NA
83,92,59,NA
83,59,5,NA
83,5,68,NA
83,68,42,NA
83,42,69,NA
83,69,44,NA
83,44,37,NA
83,37,39,NA
83,39,16,NA
83,NA,NA,LoopEnd
64,NA,NA,IN
64,16,8,NA
64,8,0,NA
64,0,14,NA
64,14,76,NA
64,76,71,NA
64,71,95,NA
64,95,62,NA
64,62,51,NA
64,51,23,NA
64,23,24,NA
64,24,57,NA
64,57,21,NA
64,21,55,NA
64,55,85,NA
64,85,75,NA
64,75,88,NA
64,88,22,NA
64,22,30,NA
64,30,96,NA
64,96,86,NA
64,86,34,NA
64,34,36,NA
64,36,84,NA
64,84,52,NA
64,52,73,NA
64,73,3,NA
64,3,89,NA
64,89,47,NA
64,47,28,NA
64,28,93,NA
64,93,87,NA
64,87,70,NA
64,70,81,NA
64,81,53,NA
64,53,92,NA
64,92,59,NA
64,59,5,NA
64,5,68,NA
64,68,42,NA
64,42,69,NA
64,69,44,NA
